runId,scenario,variant,repeat,tick,side,actor,opponent,action,attack,distance,score,visits,healthDiff,actorCooldown,opponentCooldown,actorHealth,opponentHealth,actorX,actorZ,opponentX,opponentZ,forward,sprint,jump,strafeLeft,strafeRight,back
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,34,right,Bravo,Alpha,sprint-advance,false,0.191,-45.273,5,0,2,2,12,12,0.453,1.116,0.342,0.961,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,35,left,Alpha,Bravo,sprint-advance,false,0.083,19.76,12,0,1,2,12,12,0.501,1.184,0.453,1.116,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,35,right,Bravo,Alpha,advance,false,0.163,-19.79,18,0,1,1,12,12,0.596,1.317,0.501,1.184,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,36,left,Alpha,Bravo,sprint-advance,false,0.113,2.142,17,0,0,1,12,12,0.662,1.409,0.596,1.317,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,36,right,Bravo,Alpha,sprint-advance,false,0.149,-10.864,25,0,0,0,12,12,0.748,1.53,0.662,1.409,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,37,left,Alpha,Bravo,close-attack,true,0.002,17.959,2,0,0,0,12,12,0.749,1.532,0.748,1.53,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,37,right,Bravo,Alpha,close-attack,true,0.141,-1.963,1,-4,0,10,8,12,0.831,1.647,0.749,1.532,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,38,left,Alpha,Bravo,sprint-advance,false,0.069,19.244,22,0,9,10,8,8,0.871,1.703,0.831,1.647,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,38,right,Bravo,Alpha,sprint-advance,false,0.136,-2.582,3,0,9,9,8,8,0.95,1.814,0.871,1.703,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,39,left,Alpha,Bravo,sprint-advance,false,0.106,19.247,22,0,8,9,8,8,1.012,1.9,0.95,1.814,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,39,right,Bravo,Alpha,sprint-advance,false,0.134,-2.358,4,0,8,8,8,8,1.089,2.009,1.012,1.9,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,40,left,Alpha,Bravo,sprint-advance,false,0.126,23.694,33,0,7,8,8,8,1.162,2.112,1.089,2.009,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,40,right,Bravo,Alpha,sprint-advance,false,0.132,-0.714,19,0,7,7,8,8,1.239,2.22,1.162,2.112,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,41,left,Alpha,Bravo,sprint-advance,false,0.137,26.544,33,0,6,7,8,8,1.318,2.331,1.239,2.22,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,41,right,Bravo,Alpha,jump-sprint,false,0.132,0.071,8,0,6,6,8,8,1.395,2.438,1.318,2.331,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,42,left,Alpha,Bravo,sprint-advance,false,0.143,28.233,33,0,5,6,8,8,1.478,2.554,1.395,2.438,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,42,right,Bravo,Alpha,sprint-advance,false,0.131,-11.599,7,0,5,5,8,8,1.554,2.661,1.478,2.554,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,43,left,Alpha,Bravo,sprint-advance,false,0.146,29.24,22,0,4,5,8,8,1.638,2.78,1.554,2.661,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,43,right,Bravo,Alpha,sprint-advance,false,0.131,-36.915,8,0,4,4,8,8,1.714,2.887,1.638,2.78,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,44,left,Alpha,Bravo,sprint-advance,false,0.148,29.24,22,0,3,4,8,8,1.8,3.007,1.714,2.887,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,44,right,Bravo,Alpha,sprint-advance,false,0.131,-43.141,19,0,3,3,8,8,1.876,3.114,1.8,3.007,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,45,left,Alpha,Bravo,sprint-advance,false,0.149,29.192,18,0,2,3,8,8,1.962,3.235,1.876,3.114,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,45,right,Bravo,Alpha,sprint-advance,false,0.131,-33.996,25,0,2,2,8,8,2.038,3.341,1.962,3.235,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,46,left,Alpha,Bravo,advance,false,0.12,20.406,12,0,1,2,8,8,2.108,3.439,2.038,3.341,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,46,right,Bravo,Alpha,advance,false,0.131,-15.777,23,0,1,1,8,8,2.184,3.545,2.108,3.439,true,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,47,left,Alpha,Bravo,jump-sprint,false,0.133,3.068,18,0,0,1,8,8,2.261,3.654,2.184,3.545,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,47,right,Bravo,Alpha,sprint-advance,false,0.131,-10.885,25,0,0,0,8,8,2.337,3.761,2.261,3.654,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,48,left,Alpha,Bravo,close-attack,true,0.013,17.91,2,0,0,0,8,8,2.345,3.772,2.337,3.761,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,48,right,Bravo,Alpha,close-attack,true,0.131,-2.024,1,-4,0,10,4,8,2.421,3.878,2.345,3.772,false,false,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,49,left,Alpha,Bravo,sprint-advance,false,0.075,19.258,22,0,9,10,4,4,2.465,3.94,2.421,3.878,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,49,right,Bravo,Alpha,sprint-advance,false,0.131,-2.58,3,0,9,9,4,4,2.541,4.046,2.465,3.94,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,50,left,Alpha,Bravo,sprint-advance,false,0.109,19.259,22,0,8,9,4,4,2.604,4.135,2.541,4.046,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,50,right,Bravo,Alpha,sprint-advance,false,0.131,-0.631,19,0,8,8,4,4,2.68,4.242,2.604,4.135,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,51,left,Alpha,Bravo,sprint-advance,false,0.128,384.911,33,0,7,8,4,4,2.754,4.345,2.68,4.242,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,51,right,Bravo,Alpha,sprint-advance,false,0.131,-0.717,19,0,7,7,4,4,2.83,4.452,2.754,4.345,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,52,left,Alpha,Bravo,sprint-advance,false,0.138,749.41,33,0,6,7,4,4,2.91,4.564,2.83,4.452,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,52,right,Bravo,Alpha,jump-sprint,false,0.131,0.069,8,0,6,6,4,4,2.986,4.671,2.91,4.564,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,53,left,Alpha,Bravo,sprint-advance,false,0.143,870.002,33,0,5,6,4,4,3.069,4.787,2.986,4.671,true,true,false,false,false,false
standard-mcts-r1,Standard MCTS run 1,Standard MCTS,1,53,right,Bravo,Alpha,sprint-advance,false,0.131,-285.205,7,0,5,5,4,4,3.145,4.894,3.069,4.787,true,true,false,false,false,false
