runId,scenario,variant,repeat,tick,distance,alphaHealth,bravoHealth,attacksThisTick,lastAction
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,57,0.115,4,5,0,advance
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,58,0.091,4,1,2,close-attack
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,1,8.368,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,2,8.271,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,3,7.927,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,4,7.485,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,5,6.989,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,6,6.463,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,7,5.951,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,8,5.476,21,20,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,9,4.961,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,10,4.426,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,11,3.879,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,12,3.355,21,20,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,13,2.873,21,20,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,14,2.512,21,16,2,close-attack
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,15,2.119,17,16,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,16,1.709,17,16,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,17,1.231,17,16,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,18,0.744,17,16,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,19,0.283,17,16,0,advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,20,0.223,17,16,0,sprint-advance
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,21,0.244,17,16,0,sprint-advance
